1st_keyword,2ed_keyword,review
음식이 맛있어요,양이 많아요,"❥ 육회덮밥 정말 맛있어요 :-) 
육회 질기지도 않고 양도 괜찮았어요. 더 많이 드시고 싶으신 분은 곱빼기로 주문하시면 좋을 것 같습니다!

❥ 먹고싶은 만큼 먹을 수 있는 셀프반찬 파인애플도 달달하고 맛있었어요. 장국도 맛있고, 샐러드도 맛있었습니다!

❥ 점심시간엔 사람이 많아서 웨이팅이 좀 있었는데, 그래도 빨리빨리 들어갈 수 있었어요. 
재방문 의사 있습니다 ~~ ♥"
음식이 맛있어요,,가격저렴하고 맛있어요
음식이 맛있어요,매장이 넓어요,정말 맛있고 가격도 착해서 깜짝 놀랐오요.. 이대생들 부럽다…. 매달 바뀐 메뉴 먹어보러 오려규요
음식이 맛있어요,재료가 신선해요,"이대 #모미지식당 육회덮밥 찐임,👍
소고기가지덮밥에 시원한 미니 냉모밀~!!
배터져...
#이대맛집 #이대역 #육회 #냉모밀"
음식이 맛있어요,양이 많아요,"믿고먹는 모미지 육회덮밥 ♥ 

셀프바에 제공되는 장국, 파인애플, 샐러드 모두 맛있어요 -!"
음식이 맛있어요,재료가 신선해요,육회비빔밥을 이 가격에 이 퀄리티에 먹을 수 있다니 너무 감사하죠🥳 정말 맛있습니다~~!
음식이 맛있어요,매장이 넓어요,덮밥이 친절하고 직원분들이 맛있어요💗
음식이 맛있어요,특별한 메뉴가 있어요,이대생픽 맛집입니다... 제픽은 가지덮밥! 맛있어요
음식이 맛있어요,,너무 맛있어요
음식이 맛있어요,재료가 신선해요,
혼밥하기 좋아요,,학생들 사이에서 너무 유명하길래 오픈런으로 방문해봤어요! 자리가 금새 차서 점심시간 맞춰서 오시면 무조건 기다리셔야 할 거 같아요 대표 메뉴인 가지 덮밥 먹어봤는데 특별한 맛은 아닙니다.. 그냥 무난한 덮밥! 기다리면서 먹을 정도는 아니라 웨이팅 있으면 다른 데 방문해보시는 걸 더 추천드려요~ 양배추 샐러드는 아주 맛있었어요🥰 소스도 유자 흑임자 고를 수 있어서 좋더라고요!
음식이 맛있어요,혼밥하기 좋아요,잠심시간에 방문했더니 밖에서 웨이팅은 조금 했지만 음식은 금방 나왔어요! 정갈하고 맛있어요!!
혼밥하기 좋아요,음식이 맛있어요,친구 덕에 처음 와봤는데 음식이 너무 정갈하고 맛있었어요 💕 추운 날 덕분에 잘 힐링했습니다
음식이 맛있어요,혼밥하기 좋아요,"어제부터 육회가 먹고 싶었던터라 육회덮밥을 주문했습니다. 생긴것이 비빔국수처럼 나왔네요ㅎㅎ 노른자도 예쁘게 담겨있어 음식을 받자마자 기분이 좋아졌습니다. 일본식으로 양념을 했는지 달았습니다. 와사비를 조금씩 올려먹다가 나중에는 전부 털어서 함께 비벼먹었네요. 장국과 반찬 그리고 샐러드는 직접 가져와 먹었습니다. 단무지와 고추절임은 자리에 있고, 양배추샐러드, 파인애플, 김치와 장국은 가게 중앙에 배치되어 있어요. 그릇들도 아기자기하고 예뻐서 기분 좋게 먹고 나왔습니다~"
음식이 맛있어요,혼밥하기 좋아요,차돌순두부칼국수 다 먹고 남은 국물에 밥이랑 같이 먹으면 맛있습니다. 파인애플도 맛있어요.
혼밥하기 좋아요,음식이 맛있어요,"차돌순두부칼국수 ❤️
두번째 차순칼이었는데, 처음먹었을때보다 두번째 방문때에 양이 조금 줄었어요
그래도 딱 알맞게 먹은 느낌이라 만족하고 갑니다."
음식이 맛있어요,혼밥하기 좋아요,
음식이 맛있어요,양이 많아요,양이 꽤 많은편. 맛도 꽤 맛있고 모든 것이 셀프다. 샐러드에 흑임자 드레싱이 있고 파인애플도 셀프바에 있다. 점심시간에 웨이팅 필수. 소고기가지볶음밥이 특히 맛있다.
혼밥하기 좋아요,아늑해요,"요즘 식단관리 중이라 먹을 수 있는 것이 한정적이라 자주 먹는 육회덮밥입니다! 어제 저녁에 먹고 싶은거 참다가, 모미지식당 와서 먹네요ㅋㅋ 욕심내서 곱빼기 시켰는데 양이 미쳤어요. 일반 남성분은 곱빼기 드셔야겠지만 요즘 양이 줄어서 제게는 많았네요!"
음식이 맛있어요,,굿
음식이 맛있어요,가성비가 좋아요,"깔끔한 식당 모미지식당이에요. 인테리어도, 메뉴도 깔끔해요. 공간이 넓고 중간에 셀프바가 있어서 샐러드부터 깍두기와 같은 반찬 및 파인애플까지 가져다 먹을 수 있어요. 메뉴도 크게는 3가지가 있어요. 육회랑 가지덮밥 먹었는데 배도 꽤 부르고 맛났어요:)"
음식이 맛있어요,혼밥하기 좋아요,차돌순두부칼국수 맛있어요!
음식이 맛있어요,양이 많아요,"와사비를 넣고 비벼먹는 육회덮밥이 알싸하니 맛있습니다.
소고기가지덮밥은 생각보다 기름져서 김치나 고추피클, 파인애플이랑 같이 먹으니 좀 낫네요ㅜㅜ"
음식이 맛있어요,양이 많아요,
음식이 맛있어요,양이 많아요,차돌순두부칼국수 너어무 맛있어요 밥추가도 무료라 좋아용
음식이 맛있어요,,다양한 메뉴가 있어 좋아요
음식이 맛있어요,혼밥하기 좋아요,가지덮밥이 독특해서 시켰는데 고기랑 잘어우러져서 맛있었습니다 1인 좌석도 있고 자리에 태블릿 주문 가능해서 편해요 딱히 친절한 느낌은 아닙니다
음식이 맛있어요,양이 많아요,단무지 / 파인애플 / 김치 / 장국 셀프로 이용 가능해서 좋았고 육회비빔밥 진짜 맛있었는데 동행한 친구가 고기가지덮밥도 맛있었다고 해요! 근처 오면 재방문 의사 완전 있습니다
음식이 맛있어요,,맛은 있는데 가성비가 엄청 좋은지는 잘 모르겠어요
음식이 맛있어요,혼밥하기 좋아요,가지덮밥이 맛있어요 ㅎㅎ
,,굿
음식이 맛있어요,재료가 신선해요,"모미지는 단풍이라는 뜻이에요
육회덮밥이 신선하고 맛있었어요
가운데 길게 리필할수있는 테이블이 있으니 편리했고 혼밥하기에 좋은거같아요
친절하시고 기다리는 분들도 있었어요 그래서 빨리 먹고 일어나야 할거 같았어요
또 가서 다른 메뉴도 먹어보고싶어요"
음식이 맛있어요,특별한 메뉴가 있어요,"가지덮밥…👍👍
진짜 두 번 드세여 세 번 드세요
줄 길게 늘어서서 먹기 힘들다고 하던데,
너무나도 맛있었던 가지덮밥"
혼밥하기 좋아요,음식이 맛있어요,육회비빔밥 가지덮밥 다 너무 맛있고 직원분들도 친절하셔서 좋아요
음식이 맛있어요,재료가 신선해요,"ᴍ ᴇ ɴ ᴜ 소고기가지덮밥(곱) + 육회덮밥 /
언제가도 실패없는 모미지..♡ 오늘도 너무너무 맛있게 먹었어요!!
모미지 가지덮밥 진짜 먹어도 먹어도 안질려요
최고"
음식이 맛있어요,혼밥하기 좋아요,양도 적당하고 맛있어요~ 가게 소리가 잘 울려서 대화하기는 좀 그렇고 혼자 깔끔하게 먹고 싶을때 종종 갈것 같아요
친절해요,매장이 청결해요,"육회덮밥도 좋고 소고기 가지덮밥도 맛있어요
반찬들도 좋았어요"
음식이 맛있어요,재료가 신선해요,"그냥 무난무난한 육회집.
네이버 지도에 4.8이길래 기대했지만 생각보다는 평범한?
그렇다고 별로라는 건 아니고. 괜찮게 먹었다.

별접은 3점: 육회가 땡길 때 좀 걸어서라도 갈만함."
친절해요,매장이 청결해요,오래 기다려도 절대 후회 하지 않음ㅠㅠ😭🌟 모미지의 시그니처 메뉴인 육회 덮밥이랑 가지 덮밥은 어디서도 맛 보지 못 했던 맛이당👍🏻셀러드 미소장국 파인애플도 눈치 보지 않고 셀프바에서 이용 가능해서 혼밥러들도 즐겁게 식사 가능함! 그리고 서빙해주시는 직원분이 넘 친절하셨음!!😊
혼밥하기 좋아요,음식이 맛있어요,덮밥 맛있어요 혼밥하기도 좋을것같네요
음식이 맛있어요,재료가 신선해요,맛나요!!!
음식이 맛있어요,특별한 메뉴가 있어요,"육회덮밥 인생맛집
이대 덮밥 맛집 ㅇㅈ!!
가지를 싫어하는데도 맛있게 먹은 가지덮밥~~"
,,굿
음식이 맛있어요,,"고기가지덮밥(9,500) 먹었는데 소고기가 갈아져서 가지랑 잘 어울렸어요. 소스 간도 알맞았어요"
친절해요,혼밥하기 좋아요,"오리마늘쫑덮밥 11000
소고기가지덮밥 9500
모둠고로케(야채, 카레, 고구마치즈) 4500"
음식이 맛있어요,특별한 메뉴가 있어요,"소고기가지덮밥 맛있어요.
셀프바에 다양하게 있는데
샐러드에 파인애플, 흑임자 소스까지 이용 가능해서 최고입니다 ㅎ
장국도 굿굿
주문 및 결제를 패드로 하니 편하네요"
음식이 맛있어요,친절해요,"너무 좋아하는 모미지식당❤️ 가지덮밥은 여기서 먹은 이후로 다른 데 생각이 안 나요,, 달짝지근하니 최고에요! 샐러드랑 파인애플 김치 장국까지 든든합니다 :)"
특별한 날 가기 좋아요,인테리어가 멋져요,"이 가게 모르면 이데셍 아님
평일엔 가는거 꿈도 못꾸다가
아부지가 토요일에 놀러오셔서 혹시?나 하는 마음에 갔는데 다행히 평일보단 여유로웠어요! 너무 맛있습니다 소고기가지덮밥 진짜..최고"
재료가 신선해요,음식이 맛있어요,"ᴍ ᴇ ɴ ᴜ 육회덮밥 곱빼기 + 제육비빔우동 /
육회양 진짜 많고 육회덮밥 진짜 맛있어요!!
제육비빔우동은 약간 짠데 우동이랑 밥이 진짜 잘 들어가요 ㅋㅋㅋ
언제가도 친절하시고 맛있습니다♡
주말 1시반쯤 가니까 가지덮밥은 품절이더라구요ㅜㅠ (바로 앞에서 매진) 참고하세용"
음식이 맛있어요,특별한 메뉴가 있어요,감사합니다 번창하세요 잘먹었습니다
특별한 메뉴가 있어요,음식이 맛있어요,"맛집이라고 해서 기대했는데 정말 맛있네요ㅎㅎ!!!
특히 셀프로 무한 제공되는 샐러드랑 파인애플 정말 맛있어요ㅎㅎ!!! 가지덮밥 소스도 넘 맛나고 국밥도 해장으로 딱이에요!"
재료가 신선해요,양이 많아요,"ᴍ ᴇ ɴ ᴜ 소고기가지덮밥 (곱빼기) /
진짜진짜진짜 맛있어요!!! 가지 완전 부드럽고 소고기에 불맛 진짜 대박이에요,,,
곱빼기도 양 진짜 푸짐하고, 셀프바에 샐러드, 장국, 김치 등 원하는 만큼 가져올 수 있는 것도 편했어용"
음식이 맛있어요,,굿
특별한 메뉴가 있어요,재료가 신선해요,"항상 넘 맛있어용👍🏻 가지덮밥은 늘 존맛이라 꼭꼭 먹고 이번시즌메뉴 굴국밥은 술도 안먹었는데
해장돼요😋😋 새로운 시즌메뉴로 제육볶음우동?이 들어온 것 같은데 먹으러 재방문할꺼에요! 늘 웨이팅있지만 그럴 가치가 있습니다🫶"
특별한 메뉴가 있어요,음식이 맛있어요,메뉴가 흔하지 않고 정말 맛있어요 가격도 적당하고 가게도 깔끔하고 혼밥하기도 좋고 밥약하기도 좋고 재방문의사 10000%입니다
특별한 메뉴가 있어요,,정말 강추하는 집이에요
친절해요,음식이 맛있어요,음식도 맛있는데 사장님이 정말정말 친절하시고 미소가 밝으셔서 너무 기분 좋은 한 끼였습니다!! (지금도 잘 되긴 하지만) 더 잘 되었으면 좋겠어요~
친절해요,혼밥하기 좋아요,제육비빔우동이 좀 짠 편인거같은데 밥 비벼먹으니까 괜찮았어요 여기 고로케가 엄청 맛있으니까 꼭 드셔보세요!!! 서비스도 친절하고 좋아요
혼밥하기 좋아요,친절해요,육회비빔밥이 대표메뉴인데 다른 메뉴들도 맛있습니다. 인기가 많아서 오픈 때 맞춰가지 않으면 웨이팅 해야합니다. 바 자리도 있어서 혼밥도 가능합니다
혼밥하기 좋아요,,육회 비빔밥 진짜 맛있어요
매장이 넓어요,혼밥하기 좋아요,"와 소고기가지덥밥 정말 최고였어요
가지 별로 안좋아하는데
맛있다는 친구추천으로 먹었는데 진짜 최고였습니다"
음식이 맛있어요,양이 많아요,친구들 만나서 맛있고 든든하게 한 끼 먹기 좋은 곳이예요! 가게 이전 후에는 처음 가봤는데 이전보다 찾기쉬운 곳으로 옮겨서 좋은 것 같아요 :) 육회비빔밥에 육회가 진짜 푸짐하고 간도 딱 좋아요!
음식이 맛있어요,특별한 메뉴가 있어요,"혼자갔는데 시즌메뉴는자꾸 바뀐다기에~~~ 가지덮밥이랑 제육우동 두개나 먹었어요ㅎㅎㅎ 너무 배불러서 남기긴 했지만, 가지덮밥은 불맛낭낭하고 식감살아있어 맛있었고~~ 제육은 두반장 넣어 살짝 마파두부같은 맛이나는게, 제입맛에 맞았습니다. 

근데 사장님 제발 맥주좀 팔아주세요~~~🙏 맛있는 음식을 술없이 먹어야한다니...... 하아 🥲 

한번 이전해갖고 기존주소로 가면 재건축 중이니... 잘 찾아보고 가셔요!!"
,,"솔직히 이게 왜 맛있는지 몰겠네요
제일 유명하다는 소고기 가지덮밥 먹었는데 일단 밥이 너무 눅눅하네요
거기다가 소스는 맛이 없진 않는데 녹말이 너무 많이 들어가서 눅눅하고 단 맛이 너무 많이 납니다

앞에 내놓은 파인애플 통조림을 제일 맛있게 먹었습니다"
,,"정말 맛이없습니다. 가지 덮밥에서는 기름 누린내와 가지 비린내가 나고 물도 수돗물을 그대로 쓰는지 물비린내가 납니다. 오픈주방으로 되어있는데 주방 상태도 그닥 좋지는 않습니다. 테이블 위생 상태도 엉망이고 직원 서비스 까지 별로입니다. 음식을 그냥 집어 던지더라고요. 
절대 가지마세여"
음식이 맛있어요,,메뉴 하나하나가 넘 맛있어요
음식이 맛있어요,,굿~
혼밥하기 좋아요,재료가 신선해요,"맛있는 육회덮밥, 가지덮밥, 그리고 고로케! 그 무엇도 놓치기 싫은 장소입니다. 가지덮밥은 가지인줄 모르고 먹어도 상당한 곳. 꼭 들러보세요😊"
친절해요,,
특별한 메뉴가 있어요,재료가 신선해요,언제가도 맛있어요 새로 생긴 제육 우동 메뉴도 맛있었어요!
음식이 맛있어요,특별한 메뉴가 있어요,밥 맛있게 먹구 가요
친절해요,매장이 청결해요,안내 해주시는 여성 직원분이 엄청 친절하셨어요❤️😊 맛은 말해 뭐해~ 이대 밥집은 모미지가 짱인듯👍🏻
음식이 맛있어요,매장이 넓어요,매장도 넓어졌고 테이블마다 결제할 수 있어서 좋아요!! 화요일 7시쯤 방문했는데 웨이팅 없이 바로 들어갔어요~~
음식이 맛있어요,,굿
양이 많아요,음식이 맛있어요,좋아요
특별한 메뉴가 있어요,음식이 맛있어요,종업원분들이 참 친절하셔서 기억에 남아요. 굴국밥 겨울에 잘 어울리는 메뉴였고 평일 점심 12시 반쯤 웨이팅 좀 있습니다
음식이 맛있어요,특별한 메뉴가 있어요,"요즘 학교 밥집들 가격이 너무 비싸지만,,,,그래도 모미지 이데셍 소울 푸드 인정,,,,, 맛있는걸 어떡해,,ㅠㅜㅠㅠㅜㅠ 설거지 싹싹 완."
혼밥하기 좋아요,특별한 메뉴가 있어요,가지덮밥 정말 맛있어요
음식이 맛있어요,,소고기 가지덮밥 육회덮밥
음식이 맛있어요,,육회덮밥 맛나요
매장이 넓어요,양이 많아요,너무 맛있어요... 사장님도 친절하세요!
음식이 맛있어요,양이 많아요,가지 싫어하는 사람 무조건 도전해보세요!! 진짜 맛있어용
음식이 맛있어요,특별한 메뉴가 있어요,진짜 맛있어요
친절해요,양이 많아요,좋아요
재료가 신선해요,음식이 맛있어요,느끼하지 않고 건강식을 먹은 듯 ...
매장이 청결해요,친절해요,개인적으로 이대 근처 식당 중 TOP3 안에 듭니다. 아니 원탑인가? 그냥 웨이팅 없으면 무조건 가세요;
음식이 맛있어요,양이 많아요,맛나요
친절해요,음식이 맛있어요,제육비빔우동 넘 맛나요
특별한 메뉴가 있어요,,너무어무 맛있어요
음식이 맛있어요,친절해요,소고기가지덮밥 정말 맛있어요
음식이 맛있어요,특별한 메뉴가 있어요,고등어덮밥 최고에요. 데리야끼소스와 토핑들 비벼먹으니 좋았어요 신선해요. 재방문할거에요
특별한 날 가기 좋아요,친절해요,맛집 인정
특별한 메뉴가 있어요,재료가 신선해요,"혼밥석 있어서 좋았어요
가지덮밥이 마감이라 육회덮밥 먹었는데 맛있었어요!"
매장이 청결해요,친절해요,"사장님도 친절하시고 이대 맛집입니다~
강추~ 해요 또올께요"
음식이 맛있어요,,가지 별로 안좋아하는데 가지덮밥 먹을만 하네요🤎
매장이 넓어요,혼밥하기 좋아요,가지덮밥 정말 맛있어요
음식이 맛있어요,특별한 메뉴가 있어요,모미지의 대표 메뉴 가지 덥밥을 먹어봤어요!!가지를 싫어하는 사람도 맛있게 먹을 수 있고 소스와 밥이 매우 잘 어울렸어요❤
음식이 맛있어요,양이 많아요,"신촌에는 이런 식당이 있군요
안암에는 없는 ...,
소고기가지덮밥 맛있구요
육회덮밥 개맛있ㅇㅓ요
소고기가 조금 작게 썰려 있어서 맛이 크게 안 느껴진다거나 식감이 약간 아쉽긴 했지만 그래도 맛집입니다.. 데려와준 이대 친구야 고맙다"
매장이 청결해요,화장실이 깨끗해요,조아요
음식이 맛있어요,,좋아요
음식이 맛있어요,재료가 신선해요,"가지덮밥 노릇하게 튀긴 가지에 단짠소스가 잘 배어들어 넘 맛있어요!!!!!😍🍆🍚 간이 적절해서 다 먹고난 후 입안이 텁텁하지 않아서 좋아요.

(+취향에 따라 덮밥이나 면류에 계란후라이, 수란 등 토핑 추가 옵션이 있어도 괜찮을 것 같아요🍳)

테이블에 놓인 기본찬 3가지(김치, 단무지, 고추장아찌)말고도 셀프바에서 샐러드, 미소시루, 과일을 가져다 알차게 먹을 수 있어요.

음식이 맛있고 사장님과 직원분들 정말 친절하셔서 궁금했던 메뉴 먹으러 또 가고 싶은 곳😘👍💖"
음식이 맛있어요,재료가 신선해요,"주기적으로 먹어줘야해요😁
너무 맛있습니당🥰"
가성비가 좋아요,,음식이 맛있었어요
혼밥하기 좋아요,,좋아요
음식이 맛있어요,재료가 신선해요,"육회덮밥 진짜 맛있어요 !!
별거 안들어간거 같은데 육회가 굉장히 신선하고 와사비랑 같이 먹으면 최고에요 .. 🫶🏻
직원분도 너무 친절하셔서 좋아용"
음식이 맛있어요,,방문하려던 음식점 재료소진으로 급하게 검색하고 방문한 곳인데 음식이 상당히 빨리 나오고 술술 넘어가는 맛이에요 양이 모자른듯 충분합니다
음식이 맛있어요,재료가 신선해요,세상에서 제일 맛있는 육회덮밥
양이 많아요,음식이 맛있어요,"소고기 가지덮밥🍆, 육회덮밥🍚 정말 맛있어요👍 후식으로 먹는 황도🍑도 센스만점👍"
음식이 맛있어요,재료가 신선해요,주기적으로 먹어줘야하는 가지덮밥🍆🍚
음식이 맛있어요,,너무 맛있어요
,,"리뷰보고 기대하고 방문했는데,
긴 대기 시간과 입장 순서대로 음식이 나오지 않는 점에 매우 실망했어요. 
누가봐도 누락됐는데 사과 한마디 없고 변명하기 급급해 하셔서 음식맛도 제대로 못 느꼈고, 나올때 굉장히 불쾌했어요."
음식이 맛있어요,가성비가 좋아요,친절하고 맛있어요
양이 많아요,음식이 맛있어요,육회덮밥 너무 맛있어요 :)
음식이 맛있어요,혼밥하기 좋아요,가지덮밥 맛있어요! 분위기 편하고 대화하기 좋아용
음식이 맛있어요,양이 많아요,가지덮밥 맛있어요....
음식이 맛있어요,재료가 신선해요,육회덮밥 너무너무 맛있음 ... 신선하고 쫀득하고 ❤
음식이 맛있어요,특별한 메뉴가 있어요,"완전 맛있어요
그리고 바쁘신데 항상 갈 때마다 친절하셔서 기분이 좋아요"
음식이 맛있어요,가성비가 좋아요,맛집 맞네요. 가성비 좋고 가지덮밥 정말 맛있어요.
음식이 맛있어요,재료가 신선해요,잘 먹었습니다
음식이 맛있어요,친절해요,맛있게 잘 먹었고 요청 사항도 잘 반영해주셨습니다!
음식이 맛있어요,특별한 메뉴가 있어요,항상 맛있게 먹고있습니다:-)
음식이 맛있어요,재료가 신선해요,맛있어요
음식이 맛있어요,재료가 신선해요,웨이팅 20분정도 할만 했어요 ㅎㅎ 엄청 친절하시고 소고기가지덮밥은 가지가 정말 맛나요
음식이 맛있어요,특별한 메뉴가 있어요,항상 웨이팅이 있지만 맛있어요 💗
양이 많아요,특별한 메뉴가 있어요,양도 많고 맛있어요 점심 시간에 갔더니 사람이 많더라고요 가게 바로 앞에서 웨이팅 해야 하는 점은 좀 불편하지만 맛있어요!!
음식이 맛있어요,,육회덮밥 맛있어요
음식이 맛있어요,혼밥하기 좋아요,가지 좋아하지 않지만 여기 소고기 가지 덮밥은 정말로 맛있어요!
음식이 맛있어요,특별한 메뉴가 있어요,맛있고 직원분 엄청 친절하세요
재료가 신선해요,양이 많아요,항상 친절하시구 넘 맛있어요!!!
음식이 맛있어요,재료가 신선해요,소고기 가지덮밥🥩🍆🍚
음식이 맛있어요,재료가 신선해요,가지안좋아하는데 가지덮밥 너무 맛있어요!!
음식이 맛있어요,특별한 메뉴가 있어요,음식도 맛있고 서비스가 항상 친절합니다!
친절해요,,굳
친절해요,음식이 맛있어요,너무 맛있고 빨리 준비되어 좋아요
음식이 맛있어요,재료가 신선해요,맛있어요!
음식이 맛있어요,혼밥하기 좋아요,남자가 먹기에 양은 살짝 적은데 맛은 있습니다
친절해요,혼밥하기 좋아요,"여기 혼밥하기도 좋고 맛있음
쇠고기가지덮밥이 좀 더 내 취향이었음
넘 맛있어서 더 먹고싶었다
사진엔 없지만 육회덮밥 시킬 때 고로케도 시켰는데
맛있었음(게살크림, 고구마치즈, 감자)"
음식이 맛있어요,양이 많아요,항상 친절하시고 맛있어요
혼밥하기 좋아요,,..
음식이 맛있어요,양이 많아요,짱
음식이 맛있어요,가성비가 좋아요,
음식이 맛있어요,,육회비빔밥이 제일 맛남
혼밥하기 좋아요,,생각보다 많이 느끼해요ㅠ
혼밥하기 좋아요,친절해요,단짠의 조화 . 혼밥 하기 좋아요!
친절해요,음식이 맛있어요,진짜 너무 맛있어요ㅠㅠ
재료가 신선해요,특별한 메뉴가 있어요,너무 친절하시고 항상 맛있어요💕
음식이 맛있어요,혼밥하기 좋아요,맛있어요!
음식이 맛있어요,,포장으로 먹어도 맛남 !!
음식이 맛있어요,특별한 메뉴가 있어요,육회비빔밥 맛있어요
재료가 신선해요,음식이 맛있어요,굿
음식이 맛있어요,,좋아요
혼밥하기 좋아요,가성비가 좋아요,가성비좋아요!! 가지 싫어하는데 맛있어요 근데 싱겁게먹는 편이라 좀 짰어요 !
음식이 맛있어요,,굳
음식이 맛있어요,친절해요,맛있어요!!
음식이 맛있어요,,좋아요
혼밥하기 좋아요,음식이 맛있어요,육회덮밥 아주 맛있어요.
음식이 맛있어요,재료가 신선해요,육회덮밥 ㅠ 꼭 먹으셔요 다들
친절해요,매장이 청결해요,"육회덮밥은 처음 먹어보는데, 너무 맛있네요 ㅠㅠ 담에 또 먹을게요 !!"
음식이 맛있어요,특별한 메뉴가 있어요,가지를 특유의 맛을 잘 안 좋아해서 반신반의하고 주문했는데 진짜 너무너무 맛있어요 최고존엄임니다
가성비가 좋아요,특별한 메뉴가 있어요,가지덮밥 완전 맛있게 먹었어요~ 그리고 친절하세요!
특별한 메뉴가 있어요,,굿
음식이 맛있어요,친절해요,좋아요
특별한 메뉴가 있어요,,
음식이 맛있어요,,굿
인테리어가 멋져요,매장이 청결해요,육회덮밥 강추에요
음식이 맛있어요,재료가 신선해요,굿
음식이 맛있어요,,짱 맛있음 !!!
음식이 맛있어요,혼밥하기 좋아요,맛있어요!!
특별한 메뉴가 있어요,음식이 맛있어요,이대 맛집 인정합니다
매장이 청결해요,혼밥하기 좋아요,소고기가지덮밥 너무 맛있어요 까탈스러운 남자친구를 만족시켰어요~
음식이 맛있어요,양이 많아요,맛나용
특별한 메뉴가 있어요,음식이 맛있어요,"아주 특별하게 땡기는 맛은 아니지만 영양가있는 따뜻한 한끼로 적당. 맛은 무난하게 맛있습니당 고기가 엄청많은건아니지만 가지가 풍성하고, 가지는 씹히는질감은 살아있지않고 부드럽게 넘어가는 덮밥이에요. 괜찮은 식당을 찾은거같아 기분이 좋아요ㅎㅎ"
혼밥하기 좋아요,,좋아요
음식이 맛있어요,재료가 신선해요,이대앞 애정하는 육회덮밥집. 달달한 육회덮밥을 좋아한다면 입맛에 맞을 것 같다. 개인적으로 와사비랑 같이 먹기에 맛 밸런스가 좋은편이라고 생각한다. 달마다 메뉴를 바꿔서 출시하시는데 육회덮밥은 고정메뉴고 그 달의 메뉴를 인스타로 확인할 수 있다. 맛있고 친절한 집👍🏻👍🏻
음식이 맛있어요,,서울집 갈때마다 먹는 가지덮밥
특별한 메뉴가 있어요,음식이 맛있어요,정말 맛있어요
가성비가 좋아요,음식이 맛있어요,맛있어욥 말하기도 입아픔
양이 많아요,,굿
양이 많아요,재료가 신선해요,육회가 장말푸짐히고 맛나요
